scene,method,trial,step,x,y,z,goal_x,goal_y,goal_z,start_x,start_y,start_z
stonehenge,no_filter,0,0,0.31200000643730164,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,1,0.31200000643730164,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,2,0.31174999475479126,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,3,0.31127500534057617,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,4,0.3105975091457367,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,5,0.30973777174949646,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,6,0.30871400237083435,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,7,0.3075425922870636,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,8,0.3062383234500885,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,9,0.30481448769569397,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,10,0.30328303575515747,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,11,0.30165472626686096,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,12,0.29993924498558044,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,13,0.2981453239917755,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,14,0.29628080129623413,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,15,0.2943527102470398,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,16,0.29236742854118347,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,17,0.2903306782245636,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,18,0.28824761509895325,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,19,0.2861228585243225,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
stonehenge,no_filter,0,20,0.28396058082580566,-0.029999999329447746,0.05000000074505806,-0.47200000000000003,-0.02999999999999995,0.05,0.312,-0.03,0.05
