trial,metric,max_steps_800,max_steps_1600,delta_1600_minus_800
0,final_goal_distance,0.14498873355662784,0.14498873355662784,0.0
0,closest_goal_distance,0.14498873355662784,0.14498873355662784,0.0
0,goal_distance_reduction_ratio,0.8150653908716482,0.8150653908716482,0.0
0,collision,False,False,
0,min_safety_h,0.0008511263877153397,0.0008511263877153397,0.0
0,intervention_rate,0.9046153846153846,0.9046153846153846,0.0
0,num_steps,325,325,0.0
0,stop_reason,stopped_before_goal,stopped_before_goal,
0,success,False,False,
1,final_goal_distance,0.6297183652618886,0.6297183652618886,0.0
1,closest_goal_distance,0.6297183652618886,0.6297183652618886,0.0
1,goal_distance_reduction_ratio,0.19687965977773483,0.19687965977773483,0.0
1,collision,False,False,
1,min_safety_h,0.0008069269824773073,0.0008069269824773073,0.0
1,intervention_rate,0.9824561403508771,0.9824561403508771,0.0
1,num_steps,114,114,0.0
1,stop_reason,stopped_before_goal,stopped_before_goal,
1,success,False,False,
2,final_goal_distance,0.6324993805713709,0.6324993805713709,0.0
2,closest_goal_distance,0.6324993805713709,0.6324993805713709,0.0
2,goal_distance_reduction_ratio,0.19347984402805463,0.19347984402805463,0.0
2,collision,False,False,
2,min_safety_h,0.001313697430305183,0.001313697430305183,0.0
2,intervention_rate,0.9903846153846154,0.9903846153846154,0.0
2,num_steps,104,104,0.0
2,stop_reason,stopped_before_goal,stopped_before_goal,
2,success,False,False,
