feature,low_progress_n,high_progress_n,low_progress_mean,high_progress_mean,high_minus_low
intervention_rate,25,25,0.9666137819161479,0.8611787601017469,-0.10543502181440101
active_constraints_mean,25,25,538.4008099534783,442.00759094487745,-96.39321900860085
min_safety_h,25,25,0.0010648279532324524,0.0007474718440789729,-0.0003173561091534794
control_deviation_mean,25,25,0.08839554397122315,0.04397118330172951,-0.04442436066949364
runtime_mean,25,25,0.0633178240882145,0.05895796700174185,-0.00435985708647265
num_steps,25,25,33.04,338.88,305.84
nearby_gaussian_count_r005,0,1,,59.58588957055215,
nearby_gaussian_count_r010,0,1,,3043.3312883435583,
nearby_gaussian_count_r020,0,1,,17591.539877300613,
nearby_opacity_mean,0,1,,0.6411784749591145,
nearby_max_scale_mean,0,1,,0.003360839152291935,
nearby_anisotropy_mean,0,1,,44306.41339398166,
nearby_volume_proxy_mean,0,1,,5.29177007701317e-09,
nearest_gaussian_distance_mean,0,1,,0.04705862958783404,
nearest_gaussian_distance_min,0,1,,0.032945869284131485,
goal_distance_reduction_ratio,25,25,0.03833850831920476,0.8346539908285728,0.7963154825093681
final_goal_distance,25,25,0.7540580060291421,0.12964933081711785,-0.6244086752120243
closest_goal_distance,25,25,0.7540580060291421,0.1280087083079979,-0.6260492977211441
