metric,count,mean,median,p95,max
active_events,116446,6.4356010511309965,0.0,34.0,639.0
active_frequency_norm,116446,0.15507333639352253,0.0,0.7623875834420784,1.0
opacity_norm,116446,0.595873100594239,0.6483320155297914,0.9999896685063265,1.0
max_scale_norm,116446,0.10398384263891786,0.00794615374277491,0.8056829845940162,1.0
anisotropy_norm,116446,0.3651137913380305,0.32536422228828,0.8760725389307137,1.0
risk_v0_active_frequency,116446,0.15507333639352253,0.0,0.7623875834420784,1.0
risk_v1_geometry,116446,0.3573990734144342,0.3648505581079971,0.5512046163169035,0.8461610002927402
risk_v2_hybrid,116446,0.2525247971136175,0.2306058223015211,0.4781844951981689,0.7018593185786749
normalization_method,116446,,,,robust min-max with 1/99 percentile clipping; active frequency uses log1p
